,Unnamed: 0,Unnamed: 0.1,State,District,MapeScore arima,MapeScore var,MapeScore poly
336,336,336,Uttar Pradesh,Shrawasti,32.91096951684892,10.444624791185062,11.581797919813953
345,345,345,Maharashtra,Nandurbar,7.521545381335543,10.41023403313184,8.819038463868617
346,346,346,Uttar Pradesh,Kanpur Dehat,9.640853436493279,1.5577278847501674,20.23195436260093
348,348,348,Tamil Nadu,Chennai,5.050096983577105,1.0110568369250166,6.95439532689204
353,353,353,Kerala,Wayanad,10.503966211512367,5.284009948110791,3.498183086686677
354,354,354,Andhra Pradesh,Anantapur,7.798702879324884,10.002345239178236,10.186403490362775
356,356,356,Kerala,Kozhikode,22.95469188735949,2.8750707934413247,0.8966693669433758
358,358,358,Punjab,Patiala,2.7715034050405545,21.16401182203836,55.1784859066872
364,364,364,Madhya Pradesh,Dewas,17.667347043698282,5.697481943207659,7.206857112803658
366,366,366,Kerala,Malappuram,8.049341270410991,9.774773061786703,0.8346106322680322
367,367,367,Bihar,Khagaria,2.3351690616650282,0.6798724828819479,16.5989394659978
369,369,369,Rajasthan,Churu,15.632141591078625,5.641014054567635,11.102665931385415
371,371,371,Madhya Pradesh,Ratlam,15.963339287903755,1.7158158118405833,10.413245676633682
372,372,372,Uttar Pradesh,Sant Kabir Nagar,15.513807109471134,2.7274199008133566,1.6808062379517381
373,373,373,Tamil Nadu,Erode,13.834915290313257,18.552135135275204,1170113797.6944308
374,374,374,Madhya Pradesh,Neemuch,4.927005537480404,2.346737748405796,8.192405335761196
376,376,376,Rajasthan,Bharatpur,16.721360751110485,5.031788763504799,5.211194585457569
378,378,378,Karnataka,Davanagere,5.262920678797301,2.5338606888520583,525.8964598162195
383,383,383,Madhya Pradesh,Barwani,2.384898201021552,1.598136826766957,9.614444021914085
384,384,384,Rajasthan,Banswara,21.535816871834236,11.93599602254314,6.70572772236826
387,387,387,Maharashtra,Dhule,5.880323482950548,4.410573896046574,21.63289749247331
392,392,392,Uttar Pradesh,Moradabad,3.4396401447127274,13.723621075737293,11.304596497311145
393,393,393,Gujarat,Kheda,1.929220782779212,3.6927521330034487,20.243954232780055
394,394,394,Uttarakhand,Champawat,8.842148470979954,2.212885812394973,34.34418849331225
399,399,399,Madhya Pradesh,Shajapur,9.681738868375009,15.59879423753668,10.09204086371652
404,404,404,Uttar Pradesh,Pratapgarh,93.18176476609214,50.85479900488041,191.31388958673386
408,408,408,Uttarakhand,Nainital,16.997173372686667,1.5470512162406822,21.749943028463292
409,409,409,Punjab,Barnala,7.048518730490263,11.292324186133902,62.41002433021613
410,410,410,Rajasthan,Kota,5.813648725571046,12.260783779289529,4.800474011272379
412,412,412,Rajasthan,Sawai Madhopur,9.045325953760043,8.738555057842925,7.426840174438929
414,414,414,Himachal Pradesh,Kangra,30.831842995289925,6.697939881557495,2.6742267007022864
418,418,418,Uttar Pradesh,Gautam Buddha Nagar,9.125384541954103,4.110053253626743,1.7666441786592875
419,419,419,Bihar,Patna,6.9960706616127455,1.4148110979238608,2.109469743070276
422,422,422,Gujarat,Surat,0.30953319398145795,6.356345602585987,7.55224366006834
431,431,431,Tamil Nadu,Tirunelveli,12.952553870974734,5.150326991292613,54.98483076046236
433,433,433,Tamil Nadu,Theni,18.825163993609976,15.294277817509673,57.09122646925249
435,435,435,Gujarat,Patan,9.183331622022175,8.019509237943211,15.665254079433272
437,437,437,Uttar Pradesh,Bulandshahr,4.596066839866137,4.874574739037912,1.3110006431027363
439,439,439,Karnataka,Bidar,11.283827046083472,3.318388369228436,27.331426700193063
440,440,440,Maharashtra,Thane,5.1844456145844005,2.3535847323477217,1.4707511268371012
441,441,441,Tamil Nadu,Thiruvallur,10.242639664737071,2.117345403864009,34.06201969331319
442,442,442,Uttarakhand,Dehradun,30.41548111244998,7.582628230592264,14.323732473253084
446,446,446,Bihar,Jehanabad,17.795397219754488,1.0181724455334509,13.966126267047613
448,448,448,Madhya Pradesh,Datia,6.113447969780573,2.012047825235626,31.168031244829013
449,449,449,Tamil Nadu,Madurai,2.436706097063136,4.5350782671335805,41.139189477218736
453,453,453,Punjab,Gurdaspur,39.87229858975097,11.717891827169144,31.67734039764307
455,455,455,Madhya Pradesh,Gwalior,13.627845887543971,2.7491569292312605,18.18993729477592
456,456,456,Punjab,Ludhiana,16.775813087808256,10.906829573633189,36.29852436722208
457,457,457,Rajasthan,Nagaur,7.6755467693394825,2.647443487545557,3.741955856511369
460,460,460,Punjab,Hoshiarpur,37.418585532291495,47.66161761696369,36.644512221561165
461,461,461,Bihar,Vaishali,8.245734061056313,4.898353346885137,8.187582534609904
469,469,469,Rajasthan,Dausa,12.545968363612694,2.0839512009115158,9.569445219241175
